Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
schedulingTask,Firefox 68.0,,,2019-09-25 04:35:18,2019-09-25 04:36:36,1m - 18.078s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Firefox 68.0,,,2019-09-25 04:35:19,2019-09-25 04:36:36,1m - 17.629s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 68.0,,,2019-09-25 04:35:19,2019-09-25 04:35:19,0.046s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-09-25 04:35:20,2019-09-25 04:35:27,7.265s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-09-25 04:35:27,2019-09-25 04:35:33,6.120s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Firefox 68.0,,,2019-09-25 04:35:33,2019-09-25 04:35:59,25.887s,ERROR
delay(delayBetweenTestSteps),Firefox 68.0,,,2019-09-25 04:35:59,2019-09-25 04:36:02,3.021s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 68.0,,,2019-09-25 04:36:02,2019-09-25 04:36:36,33.964s,FAILED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-25 04:36:36,2019-09-25 04:36:36,0.222s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-09-25 04:36:36,2019-09-25 04:36:36,0.128s,PASSED
