Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale,Chrome 76.0.3809.100,,,2019-10-29 07:24:23,2019-10-29 07:28:11,3m - 48.238s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_001,Chrome 76.0.3809.100,,,2019-10-29 07:24:24,2019-10-29 07:25:52,1m - 28.395s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:24:25,2019-10-29 07:24:25,0.077s,PASSED
"utilities.SafeActions.openBrowser(Old_URL, [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:24:25,2019-10-29 07:24:25,0.016s,NOT_RUN
delay(delayForElement),Chrome 76.0.3809.100,,,2019-10-29 07:24:25,2019-10-29 07:24:25,0.015s,NOT_RUN
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Chrome 76.0.3809.100,,,2019-10-29 07:24:25,2019-10-29 07:24:26,0.034s,NOT_RUN
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-29 07:24:26,2019-10-29 07:24:26,0.029s,NOT_RUN
"utilities.SafeActions.openBrowser(URL, [delayForElement])",Chrome 76.0.3809.100,,,2019-10-29 07:24:26,2019-10-29 07:24:43,17.799s,PASSED
"pages.Login.login(uName, password)",Chrome 76.0.3809.100,,,2019-10-29 07:24:43,2019-10-29 07:24:52,8.423s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-29 07:24:52,2019-10-29 07:25:08,16.576s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-29 07:25:08,2019-10-29 07:25:10,2.114s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Chrome 76.0.3809.100,,,2019-10-29 07:25:10,2019-10-29 07:25:25,14.304s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:25,2019-10-29 07:25:25,0.689s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), delayBetweenTestSteps)",Chrome 76.0.3809.100,Scroll down to Element inputAmount,,2019-10-29 07:25:25,2019-10-29 07:25:26,0.111s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amountInput, ""Enter Amount"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:25:26,2019-10-29 07:25:27,1.005s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:27,2019-10-29 07:25:27,0.151s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:27,2019-10-29 07:25:28,0.818s,PASSED
println(total_Amount),Chrome 76.0.3809.100,,,2019-10-29 07:25:28,2019-10-29 07:25:28,0.003s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, cardInformationCheckBox, delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:28,2019-10-29 07:25:28,0.040s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:28,2019-10-29 07:25:29,1.346s,PASSED
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-29 07:25:29,2019-10-29 07:25:32,3.010s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Month"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:32,2019-10-29 07:25:33,1.032s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Select Expiration Year"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:33,2019-10-29 07:25:34,1.027s,PASSED
"utilities.SafeActions.safeClickWithoutScrollOnLabel(findTestObject(""Pages/Sale/label_ExpirationYear""), ""Click on Exp Year label"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:25:34,2019-10-29 07:25:35,0.953s,PASSED
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-29 07:25:35,2019-10-29 07:25:38,3.002s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_SecurityCode""), securityCode, ""Enter Security code"", [delayForElement])",Chrome 76.0.3809.100,,,2019-10-29 07:25:38,2019-10-29 07:25:39,0.978s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:39,2019-10-29 07:25:39,0.100s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:39,2019-10-29 07:25:40,0.766s,PASSED
println(invoiceNumber),Chrome 76.0.3809.100,,,2019-10-29 07:25:40,2019-10-29 07:25:40,0.000s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:40,2019-10-29 07:25:41,0.885s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Chrome 76.0.3809.100,,,2019-10-29 07:25:41,2019-10-29 07:25:42,1.190s,PASSED
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-29 07:25:42,2019-10-29 07:25:45,3.002s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Sale/button_ReturnToSale""), ""Click on Return To Sale"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:45,2019-10-29 07:25:46,0.878s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Transaction_Management/tab_TransactionManagement""), ""Transaction Management Tab"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:46,2019-10-29 07:25:47,1.092s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Transaction_Management/button_Search""), ""Search"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-29 07:25:47,2019-10-29 07:25:48,0.925s,PASSED
"scrollToElement(findTestObject(""Pages/Transaction_Management/invoice_ForTransaction""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:25:48,2019-10-29 07:25:48,0.293s,PASSED
"pages.Transaction_Management.verifyInvoiceRecord(findTestObject(""Pages/Transaction_Management/footer_NextButton""), findTestObject(""Pages/Transaction_Management/page_Number""), invoiceNumber, total_Amount)",Chrome 76.0.3809.100,,,2019-10-29 07:25:48,2019-10-29 07:25:51,2.515s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-10-29 07:25:51,2019-10-29 07:25:52,1.363s,PASSED
Start listener action : sampleAfterTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:25:52,2019-10-29 07:25:52,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:25:52,2019-10-29 07:25:52,0.009s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_005,Chrome 76.0.3809.100,,,2019-10-29 07:25:52,2019-10-29 07:26:38,46.412s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:25:52,2019-10-29 07:25:52,0.007s,PASSED
"utilities.SafeActions.openBrowser(Old_URL, [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:25:53,2019-10-29 07:25:53,0.015s,NOT_RUN
delay(6),Chrome 76.0.3809.100,,,2019-10-29 07:25:53,2019-10-29 07:25:53,0.031s,NOT_RUN
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), ""ranjanatest2 - 888814981372/002 Account Type: Ecommerce"", ""Select by Value"", [25])",Chrome 76.0.3809.100,,,2019-10-29 07:25:53,2019-10-29 07:25:53,0.081s,NOT_RUN
delay(3),Chrome 76.0.3809.100,,,2019-10-29 07:25:53,2019-10-29 07:25:53,0.028s,NOT_RUN
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:25:53,2019-10-29 07:26:04,11.682s,PASSED
"pages.Login.login(uName, password)",Chrome 76.0.3809.100,,,2019-10-29 07:26:04,2019-10-29 07:26:09,4.527s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-29 07:26:09,2019-10-29 07:26:12,2.620s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-29 07:26:12,2019-10-29 07:26:13,1.770s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Chrome 76.0.3809.100,,,2019-10-29 07:26:13,2019-10-29 07:26:20,6.637s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:26:20,2019-10-29 07:26:20,0.059s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), PageLoadTime)",Chrome 76.0.3809.100,Scroll down to Element inputAmount,,2019-10-29 07:26:20,2019-10-29 07:26:20,0.105s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amount, ""Enter Amount into Amount text box"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:20,2019-10-29 07:26:21,0.975s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), PageLoadTime)",Chrome 76.0.3809.100,,,2019-10-29 07:26:21,2019-10-29 07:26:22,0.785s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), PageLoadTime)",Chrome 76.0.3809.100,,,2019-10-29 07:26:22,2019-10-29 07:26:22,0.099s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Card Not Present"", delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-29 07:26:22,2019-10-29 07:26:22,0.054s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:22,2019-10-29 07:26:24,1.426s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Expiration Month"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:24,2019-10-29 07:26:25,1.072s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Enter Expiration Year"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:25,2019-10-29 07:26:26,1.027s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_CustomerName""), PageLoadTime)",Chrome 76.0.3809.100,,,2019-10-29 07:26:26,2019-10-29 07:26:26,0.119s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CustomerName""), customerName, ""Enter Customer Name"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:26,2019-10-29 07:26:27,1.077s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Address""), address, ""Enter Address"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:27,2019-10-29 07:26:28,1.035s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_PostalCode""), postalCode, ""Enter Postal Code"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:28,2019-10-29 07:26:29,1.047s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Chrome 76.0.3809.100,,,2019-10-29 07:26:29,2019-10-29 07:26:29,0.089s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Chrome 76.0.3809.100,,,2019-10-29 07:26:29,2019-10-29 07:26:30,0.833s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:30,2019-10-29 07:26:31,0.823s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Chrome 76.0.3809.100,,,2019-10-29 07:26:31,2019-10-29 07:26:32,1.182s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Sale/button_ReturnToSale""), ""Click on Return To Sale"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:32,2019-10-29 07:26:33,0.865s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Transaction_Management/tab_TransactionManagement""), ""Transaction Management Tab"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:33,2019-10-29 07:26:34,0.971s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Transaction_Management/button_Search""), ""Search"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:34,2019-10-29 07:26:35,0.860s,PASSED
"scrollToElement(findTestObject(""Pages/Transaction_Management/invoice_ForTransaction""), PageLoadTime)",Chrome 76.0.3809.100,,,2019-10-29 07:26:35,2019-10-29 07:26:35,0.238s,PASSED
"pages.Transaction_Management.verifyInvoiceRecord(findTestObject(""Pages/Transaction_Management/footer_NextButton""), findTestObject(""Pages/Transaction_Management/page_Number""), invoiceNumber, total_Amount)",Chrome 76.0.3809.100,,,2019-10-29 07:26:35,2019-10-29 07:26:37,2.341s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-10-29 07:26:37,2019-10-29 07:26:38,1.279s,PASSED
Start listener action : sampleAfterTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:26:38,2019-10-29 07:26:38,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:26:38,2019-10-29 07:26:38,0.000s,PASSED
,,,,,,,
Test Cases/FirstView/Sale/TC_Sales_006,Chrome 76.0.3809.100,,,2019-10-29 07:26:38,2019-10-29 07:27:19,41.041s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-10-29 07:26:39,2019-10-29 07:26:39,0.001s,PASSED
"utilities.SafeActions.openBrowser(Old_URL, [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-29 07:26:39,2019-10-29 07:26:39,0.019s,NOT_RUN
delay(6),Chrome 76.0.3809.100,,,2019-10-29 07:26:39,2019-10-29 07:26:39,0.013s,NOT_RUN
